student_id,attendance_rate,homework_completion,test_score,participation,previous_gpa,at_risk
1,0.9824688566543687,0.685414948910255,64.4240948498527,7,2.647736615865231,true
2,0.7823168044178468,0.4817730929124425,89.46582863778042,5,3.2146105235189224,true
3,0.9071537256368865,0.8240529884851155,58.818975085744405,5,2.9373170298209192,true
4,0.6149397260622554,0.2367897936343517,51.40074433221463,8,2.117611602782152,true
5,1.0,0.8512195859423718,64.99749103186049,7,2.3393201040692686,true
6,1.0,0.7039908402745477,100.0,2,3.582922386230881,false
7,1.0,0.5881856629938931,74.25497188863919,7,3.3780361805262595,true
8,0.6505591567363944,0.9970604556234883,72.88777815497761,7,3.210946558502694,true
9,0.8841014070119049,0.9816378036172471,63.13995764878126,5,2.8066832494798106,true
10,0.7592606273166986,0.792703826493337,68.28947518664926,3,2.98773275387403,false
11,0.5714264813776907,0.6832564419149391,65.64059395276075,7,3.5320082936705783,true
12,0.9649579809718914,0.587749797787501,48.806027025564525,7,2.9253361569547756,true
13,0.8421165715003194,0.7729716262629795,71.15852229311585,4,2.8559121552219335,false
14,0.8072838726969761,0.9677201629376776,70.08152049373349,3,3.057523048622841,false
15,0.9026918640854643,0.7289648791802403,51.15595642728064,6,2.6919359421979925,true
16,0.7926290704595024,1.0,46.01823933286812,1,3.511242435357639,true
17,1.0,0.6582227027260259,76.87802463822645,3,2.89881716959283,false
18,0.9360654480702348,0.4867737238475897,71.48251739556153,2,3.023342211427627,true
19,0.7148976754982146,0.8498079561737862,90.93270581962432,5,3.409226904400193,false
20,0.627978554931024,0.923269983479234,76.20999992091049,5,2.4238273169860074,true
21,0.5962760250165997,0.9726779363828435,91.31039000425675,1,2.452760645044556,true
22,0.9835137129997602,1.0,41.16050394420008,6,2.285826696840182,true
23,0.8476880327892774,0.9091169002719434,78.57329121276312,2,3.6121066676231273,false
24,0.5732830013690465,0.8785717146816617,80.04462375751984,7,3.04112990943435,true
25,0.7322337177745528,0.8820133418903919,47.79323842185255,4,3.0927981456963787,true
26,0.5914867764571778,0.9141816899697112,88.79994369829916,4,2.4859198292576417,true
27,0.8870426087746708,0.7932811638381883,100.0,5,4.0,false
28,0.8867857031660621,0.6993397184444792,53.3634738228315,9,2.693502567352946,true
29,0.823170166316341,0.7836670776909472,69.40376200031406,4,3.794372345716594,false
30,0.5423610371768965,1.0,83.69281094859556,6,3.2268240236447236,true
31,0.7764540346368712,0.6172429014163865,46.9687569293634,4,2.79503165413593,true
32,0.9155633108403567,0.934887660469708,93.17308170726639,2,2.788236001663859,false
33,0.5759195946485376,1.0,75.02265424508604,8,1.823586856125696,true
34,0.8462929069019369,0.41219380624904606,51.531674245740405,4,3.848751945078563,true
35,0.8630447936391888,0.9795531678189886,66.59970179541567,1,3.085171890069525,false
36,0.7114814989801427,0.6669289023626155,96.77031693785538,1,3.7209673249385893,false
37,0.6961372622338259,0.7594949832704683,59.77967799672244,7,2.6073427207396747,true
38,0.593474156045271,0.5394008993226718,63.67869873177344,5,3.216381984737354,true
39,0.7225752858073341,0.6944465896742765,66.65879663419608,8,3.2698373526613613,false
40,1.0,0.840556487536878,93.31064546912093,2,2.3218286365643217,false
41,0.7759197296506382,0.7851932051637973,63.55502512001429,6,3.3526666254647655,true
42,0.706145504333153,0.8450999300342712,64.95790887834409,5,2.1336744791007556,true
43,0.6106515607121504,0.7848896558322296,84.41933703882566,9,2.446383993189664,true
44,0.6858044878965517,0.7797142102111203,62.346197383938716,2,3.3931859053173388,true
45,0.7550868792280259,0.478618361147546,75.61484031792257,3,2.978601782367618,true
46,0.9199563489176033,1.0,69.45838090320082,10,3.337136484305753,false
